REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGTITUDE,RADIUSSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
160160091, , , , ,-7911308.006927364,5217330.200649306, , , , ,1/16/2016,6:41:00 AM, , ,05/06/2017 14:44:53, , ,mv
160160115, , , , ,-7910611.035595507,5216219.705849954, , , , ,1/16/2016,8:10:00 AM, , ,05/06/2017 14:44:53, , ,mv
160160138, , , , ,-7904371.021539091,5219112.839882562, , , , ,1/16/2016,9:29:00 AM, , ,05/06/2017 14:44:53, , ,mv
160160172, , , , ,-7913620.558029104,5208722.227700869, , , , ,1/16/2016,11:20:00 AM, , ,05/06/2017 14:44:53, , ,mv
160160172, , , , ,-7913620.558029104,5208722.227700869, , , , ,1/16/2016,11:43:00 AM, , ,05/06/2017 14:44:53, , ,mv
160160299, , , , ,-7917220.519041867,5200421.094939075, , , , ,1/16/2016,5:54:05 PM, , ,05/06/2017 14:44:53, , ,ped
160160317, , , , ,-7909958.926018441,5215492.003130471, , , , ,1/16/2016,7:01:00 PM, , ,05/06/2017 14:44:53, , ,mv
160160375, , , , ,-7912571.81710634,5212374.061239588, , , , ,1/16/2016,10:51:57 PM, , ,05/06/2017 14:44:53, , ,ped
160170030, , , , ,-7909399.990855167,5214613.711833212, , , , ,1/17/2016,1:46:00 AM, , ,05/06/2017 14:44:53, , ,mv
160170038, , , , ,-7911501.368882873,5207732.415574834, , , , ,1/17/2016,2:09:00 AM, , ,05/06/2017 14:44:53, , ,mv
160170038, , , , ,-7911501.368882873,5207732.415574834, , , , ,1/17/2016,2:12:00 AM, , ,05/06/2017 14:44:53, , ,mv
160170137, , , , ,-7911142.140886081,5206965.927934015, , , , ,1/17/2016,11:08:00 AM, , ,05/06/2017 14:44:53, , ,mv
160170182, , , , ,-7914134.854076569,5201161.179610998, , , , ,1/17/2016,1:55:44 PM, , ,05/06/2017 14:44:53, , ,bike
160170245, , , , ,-7910150.729501077,5215951.067047856, , , , ,1/17/2016,6:16:00 PM, , ,05/06/2017 14:44:53, , ,mv
160170255, , , , ,-7920837.957214686,5200633.637734984, , , , ,1/17/2016,6:39:00 PM, , ,05/06/2017 14:44:53, , ,mv
160170263, , , , ,-7911138.912620849,5210077.120729514, , , , ,1/17/2016,7:16:00 PM, , ,05/06/2017 14:44:53, , ,mv
160180020, , , , ,-7911082.028361053,5216188.969448172, , , , ,1/18/2016,2:14:00 AM, , ,05/06/2017 14:44:53, , ,mv
160180053, , , , ,-7918081.463983662,5205499.658698735, , , , ,1/18/2016,5:53:00 AM, , ,05/06/2017 14:44:53, , ,mv
160180059, , , , ,-7916860.734447623,5204349.920346922, , , , ,1/18/2016,6:21:00 AM, , ,05/06/2017 14:44:53, , ,mv
160180150, , , , ,-7913590.390447099,5211239.450881747, , , , ,1/18/2016,11:43:00 AM, , ,05/06/2017 14:44:53, , ,mv
160180171, , , , ,-7914610.8562192,5211073.050784742, , , , ,1/18/2016,12:40:00 PM, , ,05/06/2017 14:44:53, , ,mv
160180193, , , , ,-7915435.065729034,5213184.36527781, , , , ,1/18/2016,2:23:50 PM, , ,05/06/2017 14:44:53, , ,ped
160180203, , , , ,-7910621.833586114,5209247.961604863, , , , ,1/18/2016,2:45:00 PM, , ,05/06/2017 14:44:53, , ,mv
160180227, , , , ,-7912454.486363045,5211303.301106886, , , , ,1/18/2016,3:53:55 PM, , ,05/06/2017 14:44:53, , ,ped
160180235, , , , ,-7911649.869083591,5212813.544675572, , , , ,1/18/2016,4:14:48 PM, , ,05/06/2017 14:44:53, , ,ped
160180282, , , , ,-7908372.511955146,5213002.266749786, , , , ,1/18/2016,6:58:00 PM, , ,05/06/2017 14:44:53, , ,mv
160180352, , , , ,-7909060.243769267,5202677.781520463, , , , ,1/18/2016,11:49:00 PM, , ,05/06/2017 14:44:53, , ,mv
160190058, , , , ,-7912037.817509005,5214358.073571221, , , , ,1/19/2016,7:35:00 AM, , ,05/06/2017 14:44:53, , ,mv
160190101, , , , ,-7918069.66411764,5203831.229335911, , , , ,1/19/2016,10:35:31 AM, , ,05/06/2017 14:44:53, , ,ped
